"Timestamp","Køn (Gender) ","Alder (Age)","Hvor gammel var du, da du blev seksuelt aktiv? (How old were you when you first became sexually active?)","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","Er du seksuelt aktiv i øjeblikket? (Are you currently sexually active?)","Hvor ofte har du normalt sex? (How often do you usually have sex?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Har du nogensinde været til en sexfest? (Have you ever been to a sex party?)","Hvor mange gange har du været til sexfest? (How many times have you been to a sex party?) ","Hvordan fandt du disse sexfester? (How did you find out about these sex parties?) ","Ved dine venner, at du går til sexfester? (Do your friends know you go to sex parties?)","Har det påvirket dine seksuelle interesser? (Has it affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Hvor tror du, at dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/06/02 10:57:59 PM GMT+2","Mand (Man)","50","16","I et forhold (In a relationship)","Ja (yes)","6","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;Joys","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","","Ja, Yes","2-5","Venner (Friends)","Nej (No)","Nej (No)","","Ja (Yes)","6","2","Ja (Yes)","6","2","Ja (Yes)","7","3","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","3","2","Ja (Yes)","7","4","Ja (Yes)","7","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","3","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 11:02:45 PM GMT+2","Mand (Man)","20","16","I et forhold (In a relationship)","Nej (No)","9","9","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","8","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn)",""
"2022/06/02 11:10:20 PM GMT+2","Kvinde (Woman)","23","15","Single","Nej (No)","4","3","Nej (No)","","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 11:17:29 PM GMT+2","Mand (Man)","30","24","I et forhold (In a relationship)","Nej (No)","9","9","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","8","6","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","Ja (Yes)","9","8","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","6","Ja (Yes)","7","3","Ja (Yes)","9","9","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 11:19:37 PM GMT+2","Mand (Man)","50","14","Gift (Married","Nej (No)","8","7","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Swingland;Joys;High class swingers - Hvidovre ","10+","Sociale medie (Social media)","Nej (No)","Ja (Yes)","For mig kun positivt ","Ja, Yes","2-5","Sociale medie (Social media)","Nej (No)","Ja (Yes)","Grænser der blev flyttet ","Ja (Yes)","4","2","Ja (Yes)","8","3","Ja (Yes)","9","2","Ja (Yes)","8","1","Ja (Yes)","8","4","Nej (No)","","","Ja (Yes)","9","8","Ja (Yes)","8","3","Ja (Yes)","8","2","Ja (Yes)","6","2","Ja (Yes)","8","5","Ja (Yes)","1","1","Ja (Yes)","9","3","Ja (Yes)","9","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","2","Nej (No)","","","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 11:25:05 PM GMT+2","Kvinde (Woman)","33","15","I et forhold (In a relationship)","Ja (yes)","6","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Det åbne miljø gør at man bliver introduceret for flere ting. Det kan så medføre at man begynder at eksperimentere med det også.","Ja, Yes","2-5","Søgt online (Searched online)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","7","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","5","Ja (Yes)","9","8","Nej (No)","","","Ja (Yes)","4","4","Ja (Yes)","9","6","Nej (No)","","","Ja (Yes)","7","7","Ja (Yes)","5","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","2","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 11:42:27 PM GMT+2","Kvinde (Woman)","46","16","Gift (Married","Ja (yes)","10","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Tucan;CitySwingers;Afrodite club;Joys","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Nej, No","","","","","","Ja (Yes)","10","6","Ja (Yes)","10","6","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","6","Nej (No)","","","Ja (Yes)","5","4","Nej (No)","","","Ja (Yes)","9","7","Ja (Yes)","9","6","Ja (Yes)","7","5","Nej (No)","","","Ja (Yes)","6","2","Ja (Yes)","5","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Udover min mand, har jeg en master der sætter regler for mig med sexpartnere mm"
"2022/06/02 11:42:47 PM GMT+2","Kvinde (Woman)","35","13","Gift (Married","Nej (No)","9","7","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Nej, No","","","","","","Ja (Yes)","8","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","4","Ja (Yes)","9","8","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","5","Nej (No)","","","Ja (Yes)","7","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","7","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 12:04:53 AM GMT+2","Kvinde (Woman)","31","15 år","Gift (Married","Nej (No)","7","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Er blevet mere åben og fri, samt sluttet mere fred med min krop","Nej, No","","","","","","Ja (Yes)","10","8","Ja (Yes)","10","4","Nej (No)","","","Ja (Yes)","8","3","Ja (Yes)","8","7","Ja (Yes)","8","3","Ja (Yes)","10","3","Ja (Yes)","10","3","Ja (Yes)","8","5","Ja (Yes)","8","7","Ja (Yes)","10","4","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","4","Ja (Yes)","10","8","Læder, bi-leg, creampie/sæd","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 12:09:07 AM GMT+2","Kvinde (Woman)","26","13","I et forhold (In a relationship)","Ja (yes)","7","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Jeg har fået åbnet verdenen med BDSM og er blevet hooked på partnerbytte osv ","Nej, No","","","","","","Ja (Yes)","10","8","Ja (Yes)","10","3","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","8","6","Ja (Yes)","6","4","Ja (Yes)","10","7","Ja (Yes)","8","8","Ja (Yes)","10","10","Ja (Yes)","10","8","Ja (Yes)","9","6","Ja (Yes)","5","2","Ja (Yes)","7","3","Nej (No)","","","Ja (Yes)","6","4","Nej (No)","","","Ja (Yes)","8","1","Ja (Yes)","10","8","Stag/vixen, needle play, knife play","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 12:16:06 AM GMT+2","Kvinde (Woman)","25","18","I et forhold (In a relationship)","Nej (No)","8","5","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","4","2","Ja (Yes)","5","2","Nej (No)","","","Ja (Yes)","2","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","",""
"2022/06/03 12:58:42 AM GMT+2","Kvinde (Woman)","23","16","I et forhold (In a relationship)","Nej (No)","8","5","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","2","Nej (No)","","","Ja (Yes)","9","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","7","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 1:08:14 AM GMT+2","Kvinde (Woman)","39","16","I et forhold (In a relationship)","Ja (yes)","4","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja, Yes","6-10","Søgt online (Searched online)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","2","Nej (No)","","","Ja (Yes)","5","2","Ja (Yes)","4","2","Ja (Yes)","7","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","6","Nej (No)","","","Ja (Yes)","8","4","Ja (Yes)","6","1","Ja (Yes)","5","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","8","Bloodchoke","Indefra","Der mangler nogle svarmulighederne i nogen af felterne ... det bliver upræcist fordi man skal svare men kan ikke forklare om andet påvirker. Grundlaget for at mange af tingene ikke udøves er sygdom "
"2022/06/03 1:54:23 AM GMT+2","Kvinde (Woman)","33","14","Single","Nej (No)","8","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Joys","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Inspiration til at prøve nye ting ","Nej, No","","","","","","Ja (Yes)","10","9","Ja (Yes)","10","5","Ja (Yes)","8","7","Ja (Yes)","4","2","Ja (Yes)","6","3","Ja (Yes)","5","3","Ja (Yes)","9","8","Ja (Yes)","9","7","Ja (Yes)","10","8","Ja (Yes)","10","6","Ja (Yes)","10","8","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Ja (Yes)","5","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 6:28:32 AM GMT+2","Kvinde (Woman)","38","13","I et forhold (In a relationship)","Nej (No)","1","8","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Nej (No)","","Ja, Yes","2-5","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","8","Ja (Yes)","4","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","6","Nej (No)","","","Ja (Yes)","9","9","Ja (Yes)","5","5","Ja (Yes)","3","3","Nej (No)","","","Ja (Yes)","10","10","Nej (No)","","","Ja (Yes)","10","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","8","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 6:30:00 AM GMT+2","Kvinde (Woman)","45","15","Gift (Married","Ja (yes)","10","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Ja (Yes)","Tucan","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Jeg er blevet meget mere seksuel aktiv og nysgerrig.","Nej, No","","","","","","Ja (Yes)","10","6","Ja (Yes)","5","3","Nej (No)","","","Ja (Yes)","8","5","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","9","5","Ja (Yes)","9","5","Ja (Yes)","9","5","Ja (Yes)","9","5","Ja (Yes)","9","5","Nej (No)","","","Ja (Yes)","9","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","3","Hot wife","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 6:43:25 AM GMT+2","Mand (Man)","46","15","Gift (Married","Nej (No)","7","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingergaarden","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Mere nysgerrig ","Ja, Yes","2-5","Venner (Friends)","Nej (No)","Nej (No)","","Ja (Yes)","9","5","Ja (Yes)","8","4","Ja (Yes)","2","3","Ja (Yes)","8","2","Ja (Yes)","9","2","Ja (Yes)","8","2","Ja (Yes)","7","3","Ja (Yes)","7","3","Ja (Yes)","9","3","Ja (Yes)","9","4","Ja (Yes)","9","5","Nej (No)","","","Ja (Yes)","9","2","Ja (Yes)","8","2","Ja (Yes)","9","3","Nej (No)","","","Ja (Yes)","8","2","Ja (Yes)","8","3","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 7:17:30 AM GMT+2","Mand (Man)","54","17","Gift (Married","Nej (No)","9","8","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Nej (No)","","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;Swingergaarden;Afrodite club","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Blevet mere åben","Ja, Yes","2-5","Søgt online (Searched online)","Nej (No)","Nej (No)","","Nej (No)","","","Ja (Yes)","8","5","Ja (Yes)","10","7","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","7","Ja (Yes)","7","3","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","5","Ja (Yes)","9","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 8:23:16 AM GMT+2","Kvinde (Woman)","50","14","Single","Nej (No)","8","8","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Venner (Friends)","Nej (No)","Nej (No)","","Nej, No","","","","","","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Ja (Yes)","8","3","Ja (Yes)","8","2","Nej (No)","","","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","",""
"2022/06/03 8:32:45 AM GMT+2","Kvinde (Woman)","23","17","I et forhold (In a relationship)","Nej (No)","7","7","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","8","5","Ja (Yes)","6","3","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","9","Ja (Yes)","9","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","7","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 9:16:53 AM GMT+2","Kvinde (Woman)","26","16","Single","Nej (No)","4","2","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc)",""
"2022/06/03 9:29:57 AM GMT+2","Kvinde (Woman)","25","19","I et forhold (In a relationship)","Nej (No)","8","10","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Nej (No)","","Nej, No","","","","","","Ja (Yes)","10","10","Ja (Yes)","10","5","Ja (Yes)","10","10","Nej (No)","","","Ja (Yes)","10","10","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","7","Ja (Yes)","10","8","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","10","","Medier - film, tv, osv. (Media - movies, TV, etc)",""
"2022/06/03 9:30:21 AM GMT+2","Kvinde (Woman)","28","17","I et forhold (In a relationship)","Nej (No)","9","7","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","5","2","Ja (Yes)","7","1","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 9:33:07 AM GMT+2","Kvinde (Woman)","22","16","I et forhold (In a relationship)","Nej (No)","9","6","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","7","2","Ja (Yes)","8","2","Ja (Yes)","9","9","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 9:33:50 AM GMT+2","Kvinde (Woman)","22","16","Single","Nej (No)","4","8","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","6","3","Ja (Yes)","7","1","Ja (Yes)","7","2","Nej (No)","","","Ja (Yes)","5","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","2","Ja (Yes)","8","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/03 9:35:19 AM GMT+2","Kvinde (Woman)","23","15","I et forhold (In a relationship)","Nej (No)","9","7","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","8","5","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","3","","",""
