"Timestamp","Køn (Gender) ","Alder (Age)","Nationalitet (Nationality) ","Bopælsland (Country of residence) ","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","
Hvor længe har du været seksuelt aktiv? (How long have you been sexually active?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","I hvor høj grad betragter du dig selv som nysgerrig med hensyn til udforskning af seksuelle kinks? (To what extent do you consider yourself curious regarding exploration of sexual kinks?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Nogle rapporterer, at de afholder sig fra at/ engagere sig i kink(s), de er interesserede i, fordi de føler, at det/de er et tabu. Beskriver dette også dig? (Some report that they refrain from engaging in kink(s) they are interested, in because they feel it/they are taboo. Does this describe you as well?)   ","Hvor tror du, dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Har dine seksuelle interesser ændret sig over tid? (Have your sexual interests changed over time?) ","Del venligst hvilke situationer eller tilfælde du mener har fået dine interesser til at udvikle sig (Share what situations or instances you believe have caused your interests to evolve.) ","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/11/03 8:55:42 PM GMT+1","Kvinde (Woman)","35","Dansk","Danmark ","Gift (Married)","Ja (yes)","16 år","10","7","4","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Jeg føler mig mere attraktiv og er blevet mere fri. Jeg er blevet mere nysgerrig på på min sexlyst og har fået udvidet min horisont for mulighederne. ","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Det at være startet i swingerklub har helt klart medvirket til en større sexlyst samt øget min nysgerrighed på lege mm i et kontrolleret miljø ",""
"2022/11/03 8:57:29 PM GMT+1","Kvinde (Woman)","40","Dansk","Danmark ","Single","Nej (No)","26 år","8","9","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Dark Secret;Smil","2-5","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","7","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","5","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","Mindre end en gang om  (Less than once a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Ja (Yes)","",""
"2022/11/03 9:02:13 PM GMT+1","Mand (Man)","36","Danmark","Danmark","Gift (Married)","Ja (yes)","15 år","9","9","9","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;CitySwingers 2;Kink klub","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Bdsm er blevet en del af legen","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","Mindre end en gang om  (Less than once a year)","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Ja (Yes)","10","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om måneden (few times a month)","","8","Et par gange om måneden (few times a month)","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Erfaring, samtaler med andre, se andre i swingermiljøet",""
"2022/11/03 9:18:48 PM GMT+1","Kvinde (Woman)","35","Dansk","Sønderjylland","I et forhold (In a relationship)","Nej (No)","22 år","8","9","10","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Dark Secret;Afrodite club","6-10","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Jeg har rykket mig fra en fantasi til at afprøve bl.a to mænd og bdsm","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","5","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Ja (Yes)","6","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","Et par gange om året (A few times a year)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Porno (porn)","Ja (Yes)","",""
"2022/11/03 9:58:49 PM GMT+1","Kvinde (Woman)","48","Dansk","Danmark ","Gift (Married)","Ja (yes)","35","9","10","2","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden;Afrodite club;Joys;El Diablo ","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","En gang om måned (Once a month)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","7","En gang om måned (Once a month)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","En gang om måned (Once a month)","Nej (No)","","","Bære Halsbånd ","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Ja (Yes)","Mine grænser er blevet mindre ",""
"2022/11/03 10:00:13 PM GMT+1","Kvinde (Woman)","50","Dansk ","Danmark ","Gift (Married)","Ja (yes)","33 år","9","7","6","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Dark Secret;Swingergaarden;Afrodite club","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Jeg er blevet nysgerrig på dominans ","Ja (Yes)","8","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","5","Et par gange om måneden (few times a month)","Ja (Yes)","5","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","","","","Jeg er ikke god til at være underdanig og sub. Jeg er brat.","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Modenhed og ny partner ",""
"2022/11/03 10:58:15 PM GMT+1","Kvinde (Woman)","30","Dansk","Danmark ","Single","Nej (No)","15 år","8","10","2","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret","10+","Blev præsenteret for det at to scor dates ","Nej (No)","Ja (Yes)","Jeg er blevet mere åben for nysgerrig på andre ting end kun almindelig sex ","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","5","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","Efter at jeg de seneste 10 år har været i 2 kedelige forhold, ville jeg nu som single mere udforske min sexuelle side for at blive mere bevidst om mine egne lyster og hvad der tænder mig. Jeg sprang ud i swinger miljøet hvilket har åbnet rigtigt meget for mig. Sex er ikke længere tabu for mig men er blevet mere normaliseret. Og så har jeg fundet ud af at jeg er vild med bondage. ",""
"2022/11/04 4:53:24 AM GMT+1","Kvinde (Woman)","23","Dansker","Danmark","Single","Nej (No)","I ca. 9 år","10","10","1","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","Ja (Yes)","Dark Secret","2-5","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","7","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Nej (No)","",""
"2022/11/04 6:37:46 AM GMT+1","Mand (Man)","44","Dansk ","Danmark ","Gift (Married)","Ja (yes)","30 år","8","8","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret;CitySwingers;CitySwingers 2;Afrodite club;Joys;El Diablo, Club Eclaire, Euroclub 3000","10+","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","6","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","6","Et par gange om måneden (few times a month)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Sanseleg, nålelege, fiksering, partnerbytte","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Swingerklub (Swinger club);Venner og bekendte","Ja (Yes)","Da en veninde introducerede mig for det sorte univers",""
"2022/11/04 10:12:23 AM GMT+1","Mand (Man)","47","Dansk","Danmark","Gift (Married)","Ja (yes)","34 år","8","9","1","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;Swingergaarden;Afrodite club","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Især med gloryhole og tjekkisk gloryhole sammen med konen.","Ja (Yes)","7","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","10","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","7","En gang om måned (Once a month)","Ja (Yes)","9","Mindre end en gang om  (Less than once a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Ja (Yes)","Især området med at dele konen med andre mænd, hanrej, Gangbangs.",""
"2022/11/04 10:26:28 AM GMT+1","Mand (Man)","32","Dansk","Danmark","Gift (Married)","Ja (yes)","Siden jeg var 16","5","6","7","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret;Joys;Euroclub 300, inden den lukkede.","6-10","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Da jeg besøgte en BDSM klub, gik det op for mig at jeg kunne dyrke mine dominante- og sadistiske kinks, fremfor at gemme dem væk da jeg ikke ønsker at udøve voldtægt for at få stillet mine kinks.","Ja (Yes)","8","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","5","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","4","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","4","Mindre end en gang om  (Less than once a year)","Ja (Yes)","6","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Aldrig (Never)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Consensual Non Consent, ofte forkortet CNC. Samtykke om at den ene part ikke behøves samtykke fra den anden. Dette kan blandt andet føre til rapeplay på forskellige måder, et dyrisk ""Nu vil jeg have dig, og så er jeg ligeglad med hvad du har gang i, eller om du har lyst"". Dette findes både som kink hos giver og modtager.

Bloodchokes - Anvendes til at gøre modtageren bevidstløs i en kort periode. Et korrekt tryk på 3-4 sekunder kan få modtageren til at besvime, men vågner igen nærmest med det samme. Dog uden fornemmelse af tid og sted, så om de har været væk et sekund eller en time, aner de ikke. Benyttes også i kampsport som teknik.

Facefucking - Oralsex, der i modsætning til et blowjob typisk ikke handler om giverens evne til at give et blowjob, men modtagerens bevægelser og kontrol, så ""giveren""s mund bliver et sexlegetøj.

Needleplay - Udføres med kanyler (selve nålen til en sprøjte), og kan anvendes både til endorfin / dopamin kicks, men også til udsmykning, med forskellige farver og former, placering af nålene osv. Kan i høj grad også anvendes til Sadomasokisme.

Petplay - Ikke noget jeg selv dyrker, men har nysgerrigheder. Den ene part er et pet, den anden er ejer. Pet kan både være hund, hest, kat, eller hvad man måtte have af tendenser. Det kan blandt andet udspille sig af et legende mindset, hvor pettet nyder at slippe de menneskelige krav, regler og hverdagsbyrder, og i stedet lade sit indre legebarn gå i mindset som en hund der leger med en bold, putter sig ved sin ejer, eller lignende.

Sissification - Et dominans spil der handler om at mænd (ofte heteromænd) nyder at iklæde sig lingeri, og som del af en underkastelse bliver oplært i det at være feminin, og slippe deres mandighed. Til forskel fra transkønnede, er det mænd som til hverdag har det fint med at være mænd, men som nyder at slippe den rolle, nyder dameundertøj, eller hvad der måtte skabe ønsket om denne fetish. Altså ikke et ønske om at ændre sit køn permanent. 

Der er sikkert flere, men tror lige det var hvad jeg kunne komme på. ","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","Svingerklub har gjort det lettere for mig at forestille mig eksempelvis en trekant. Har fået et blowjob af min tøs (dominans Herre / tøs relation) stod på alle 4, og hev en tredje ind, som stillede sig op bag hende, og gik i gang.",""
"2022/11/04 11:46:36 AM GMT+1","Kvinde (Woman)","39","Dansk","Danmark","Gift (Married)","Ja (yes)","Siden jeg var 15","7","9","10","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;Swingergaarden;Afrodite club","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Jeg har fået flere interesser. Blandt andet med binding","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Det har blandt andet været under leg med mange på madrassen, at jeg har fundet ud af, at jeg nyder at se min mand lege med andre, uden at jeg nødvendigvis selv er med. ",""
"2022/11/04 3:44:43 PM GMT+1","Kvinde (Woman)","40","Russer","Denmark","Semisingle ","Ja (yes)","25 år","10","9","9","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret","2-5","Søgt online (Searched online)","Ja (Yes)","Nej (No)","","Nej (No)","","","Ja (Yes)","6","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Porno (porn)","Ja (Yes)","Den fakta at jeg er single .. eller semisingle 🤭",""
"2022/11/04 4:08:02 PM GMT+1","Kvinde (Woman)","48","Dansk","Danmark ","I et forhold (In a relationship)","Nej (No)","35 år","7","4","3","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Swingergaarden;Afrodite club;Joys","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Nej (No)","","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Besøg i SMil Fyn for mange år siden",""
"2022/11/04 7:57:32 PM GMT+1","Mand (Man)","46","Dansk","Danmark","Gift (Married)","Nej (No)","31 år","9","10","1","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys;Eclaire Aalborg","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","3","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","",""
